Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,Liquidus,Term. Temp,Solidifcation Range
87,4.305555556,61.25,4.305555556,4.305555556,4.305555556,4.305555556,4.305555556,4.305555556,4.305555556,4.305555556,0.9216937282000125,0.0,0.9216937282000125,0.0783062717999875,1679.77,807.96,871.81
88,4.166666667,62.5,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667,0.926224600997059,0.0,0.926224600997059,0.07377539900294094,1678.47,809.17,869.3000000000001
89,4.027777778,63.75,4.027777778,4.027777778,4.027777778,4.027777778,4.027777778,4.027777778,4.027777778,4.027777778,0.8268651996530529,0.0,0.8268651996530529,0.17313480034694706,1579.31,808.97,770.3399999999999
90,3.888888889,65.0,3.888888889,3.888888889,3.888888889,3.888888889,3.888888889,3.888888889,3.888888889,3.888888889,0.9376791091739407,0.0,0.9376791091739407,0.062320890826059294,1674.93,810.08,864.85
91,3.75,66.25,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,0.9430145382448109,0.0,0.9430145382448109,0.05698546175518915,1672.69,810.65,862.0400000000001
92,3.611111111,67.5,3.611111111,3.611111111,3.611111111,3.611111111,3.611111111,3.611111111,3.611111111,3.611111111,0.9475869605884196,0.0,0.9475869605884196,0.052413039411580375,1670.14,811.54,858.6000000000001
93,3.472222222,68.75,3.472222222,3.472222222,3.472222222,3.472222222,3.472222222,3.472222222,3.472222222,3.472222222,0.947255442949645,0.0,0.947255442949645,0.05274455705035497,1667.28,812.46,854.8199999999999
94,3.333333333,70.0,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,0.886389306901702,0.0,0.886389306901702,0.11361069309829797,1664.11,813.57,850.5399999999998
95,11.1111,11.1111,0.0001,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,0.584336757125631,0.0977744180059869,0.6821111751316179,0.3178888248683821,1588.58,747.83,840.7499999999999
96,10.97222222,10.97222222,1.25,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,0.295662050699045,0.0975162965106962,0.3931783472097412,0.6068216527902588,1587.63,751.01,836.6200000000001
97,10.83333333,10.83333333,2.5,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,0.348201657800872,0.0950670322338938,0.44326869003476577,0.5567313099652342,1586.74,752.85,833.89
98,10.69444444,10.69444444,3.75,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,0.377372833764145,0.0916982074665206,0.46907104123066556,0.5309289587693344,1585.9,752.15,833.7500000000001
99,10.55555556,10.55555556,5.0,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,0.404230372963756,0.0887083754105125,0.49293874837426854,0.5070612516257315,1585.11,751.54,833.5699999999999
100,10.41666667,10.41666667,6.25,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,0.429808619456961,0.0857618512497206,0.5155704707066816,0.4844295292933184,1585.23,751.5,833.73
101,10.27777778,10.27777778,7.5,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,0.45482430581846,0.0831431830255515,0.5379674888440115,0.46203251115598853,1583.69,750.96,832.73
102,10.13888889,10.13888889,8.75,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,0.479418859189453,0.0810320899027595,0.5604509490922125,0.4395490509077875,1583.05,749.92,833.13
103,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.749087364807621,0.0841175384032676,0.8332049032108886,0.16679509678911142,1582.48,746.15,836.33
104,9.861111111,9.861111111,11.25,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,0.524624657870996,0.0767421092466403,0.6013667671176363,0.39863323288236374,1581.96,749.6,832.36
105,9.722222222,9.722222222,12.5,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,0.545304747291063,0.0751076815578631,0.6204124288489261,0.3795875711510739,1581.5,749.48,832.02
106,9.583333333,9.583333333,13.75,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,0.564512634431461,0.0735212685638401,0.6380339029953012,0.36196609700469884,1581.11,749.36,831.7499999999999
107,9.444444444,9.444444444,15.0,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,0.582536966457896,0.072076832913747,0.654613799371643,0.345386200628357,1580.79,749.34,831.4499999999999
108,9.305555556,9.305555556,16.25,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,0.851554957598995,0.0707555317958586,0.9223104893948536,0.0776895106051464,1580.56,749.42,831.14
109,9.166666667,9.166666667,17.5,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,0.615613109213401,0.0696847330836227,0.6852978422970236,0.3147021577029764,1580.41,749.7,830.71
110,9.027777778,9.027777778,18.75,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,0.630607288796098,0.0682636141135506,0.6988709029096486,0.3011290970903514,1580.37,751.01,829.3599999999999
111,8.888888889,8.888888889,20.0,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,0.644745663106673,0.0671930717461591,0.7119387348528321,0.2880612651471679,1581.29,751.44,829.8499999999999
112,8.75,8.75,21.25,8.75,8.75,8.75,8.75,8.75,8.75,8.75,0.658218371499969,0.0659067417959455,0.7241251132959144,0.27587488670408555,1580.65,752.94,827.71
113,8.611111111,8.611111111,22.5,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,0.888213140043688,0.0649460510810878,0.9531591911247758,0.04684080887522424,1581.02,753.52,827.5
114,8.472222222,8.472222222,23.75,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,0.893612220059507,0.0637554756366003,0.9573676956961074,0.04263230430389264,1581.56,755.19,826.3699999999999
115,8.333333333,8.333333333,25.0,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,0.898506014248548,0.0626091824741771,0.9611151967227252,0.03888480327727484,1582.32,756.93,825.39
116,8.194444444,8.194444444,26.25,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,0.902961011656591,0.0615058486142357,0.9644668602708267,0.03553313972917327,1583.33,758.73,824.5999999999999
117,8.055555556,8.055555556,27.5,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,0.906957293636704,0.0604456669354671,0.967402960572171,0.03259703942782899,1585.43,760.57,824.86
118,7.916666667,7.916666667,28.75,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,0.910802818192018,0.0594175099812576,0.9702203281732756,0.029779671826724363,1586.22,762.48,823.74
119,7.777777778,7.777777778,30.0,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,0.914808607592392,0.0580254725099398,0.9728340801023319,0.027165919897668145,1588.95,766.27,822.6800000000001
120,7.638888889,7.638888889,31.25,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,0.918117922912055,0.0570230521151662,0.9751409750272212,0.02485902497277881,1590.48,770.06,820.4200000000001
121,7.5,7.5,32.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.921003019068584,0.0558044417831882,0.9768074608517722,0.02319253914822783,1593.16,775.84,817.32
122,7.361111111,7.361111111,33.75,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,0.924282271569346,0.0546716914211362,0.9789539629904821,0.021046037009517904,1596.21,780.25,815.96
123,7.222222222,7.222222222,35.0,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,0.926834371103753,0.0535069916531263,0.9803413627568793,0.01965863724312067,1599.61,785.77,813.8399999999999
124,7.083333333,7.083333333,36.25,7.083333333,7.083333333,7.083333333,7.083333333,7.083333333,7.083333333,7.083333333,0.929045972050525,0.0524107349143756,0.9814567069649006,0.018543293035099384,1604.12,790.84,813.2799999999999
125,6.944444444,6.944444444,37.5,6.944444444,6.944444444,6.944444444,6.944444444,6.944444444,6.944444444,6.944444444,0.674625091895744,0.0509788194917509,0.7256039113874949,0.2743960886125051,1512.76,797.88,714.88
126,6.805555556,6.805555556,38.75,6.805555556,6.805555556,6.805555556,6.805555556,6.805555556,6.805555556,6.805555556,0.93363092806945,0.0500940466821481,0.9837249747515981,0.016275025248401853,1611.61,802.22,809.3899999999999
127,6.666666667,6.666666667,40.0,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,0.935646904198289,0.0488369652702134,0.9844838694685024,0.015516130531497585,1616.12,808.79,807.3299999999999
128,6.527777778,6.527777778,41.25,6.527777778,6.527777778,6.527777778,6.527777778,6.527777778,6.527777778,6.527777778,0.937925431671228,0.0476028151623507,0.9855282468335786,0.014471753166421353,1620.84,814.82,806.0199999999999
129,6.388888889,6.388888889,42.5,6.388888889,6.388888889,6.388888889,6.388888889,6.388888889,6.388888889,6.388888889,0.939181183582461,0.0465574212992847,0.9857386048817458,0.014261395118254194,1625.75,820.28,805.47
130,6.25,6.25,43.75,6.25,6.25,6.25,6.25,6.25,6.25,6.25,0.940350216170812,0.0453440040229279,0.98569422019374,0.014305779806260022,1630.82,825.82,804.9999999999999
131,6.111111111,6.111111111,45.0,6.111111111,6.111111111,6.111111111,6.111111111,6.111111111,6.111111111,6.111111111,0.941769717012999,0.0440605158955079,0.9858302329085069,0.01416976709149309,1636.83,831.99,804.8399999999999
132,5.972222222,5.972222222,46.25,5.972222222,5.972222222,5.972222222,5.972222222,5.972222222,5.972222222,5.972222222,0.943039732416282,0.042748583088733,0.985788315505015,0.014211684494985,1641.38,837.93,803.4500000000002
133,5.833333333,5.833333333,47.5,5.833333333,5.833333333,5.833333333,5.833333333,5.833333333,5.833333333,5.833333333,0.944290910355511,0.0414349434404524,0.9857258537959634,0.014274146204036553,1646.85,844.1,802.7499999999999
134,5.694444444,5.694444444,48.75,5.694444444,5.694444444,5.694444444,5.694444444,5.694444444,5.694444444,5.694444444,0.945388438262112,0.0401068406363573,0.9854952788984693,0.014504721101530671,1652.4,850.36,802.0400000000001
135,5.555555556,5.555555556,50.0,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,0.866465079700736,0.0389032109963177,0.9053682906970537,0.09463170930294629,1658.06,855.65,802.41
136,11.1111,11.1111,11.1111,0.0001,11.1111,11.1111,11.1111,11.1111,11.1111,11.1111,0.8839934209116695,0.0624766619998582,0.9464700829115278,0.05352991708847221,1651.0,742.18,908.82
137,10.97222222,10.97222222,10.97222222,1.25,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,10.97222222,0.8571632281185564,0.0702567536395368,0.9274199817580931,0.07258001824190685,1641.91,746.02,895.8900000000001
138,10.83333333,10.83333333,10.83333333,2.5,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,10.83333333,0.8389249298334732,0.0735536274978339,0.9124785573313071,0.08752144266869288,1632.97,745.94,887.03
139,10.69444444,10.69444444,10.69444444,3.75,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,10.69444444,0.501386668282433,0.0754021162711201,0.5767887845535531,0.4232112154464469,1624.17,746.56,877.6100000000001
140,10.55555556,10.55555556,10.55555556,5.0,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,10.55555556,0.814836570746884,0.0765980015260216,0.8914345722729056,0.10856542772709443,1615.53,747.29,868.24
141,10.41666667,10.41666667,10.41666667,6.25,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,10.41666667,0.8071467861887183,0.0776919277981557,0.884838713986874,0.11516128601312603,1607.04,746.94,860.0999999999999
142,10.27777778,10.27777778,10.27777778,7.5,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,10.27777778,0.500065374444382,0.0784370564136469,0.5785024308580289,0.4214975691419711,1598.69,747.52,851.1700000000001
143,10.13888889,10.13888889,10.13888889,8.75,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,10.13888889,0.793180794143,0.0783465763826377,0.8715273705256377,0.12847262947436233,1590.5,749.43,841.07
144,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.749087364807621,0.0841175384032676,0.8332049032108886,0.16679509678911142,1582.48,746.15,836.33
145,9.861111111,9.861111111,9.861111111,11.25,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,9.861111111,0.505069416633479,0.0790406750317941,0.5841100916652732,0.41588990833472683,1574.62,750.07,824.5499999999998
146,9.722222222,9.722222222,9.722222222,12.5,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,0.507795805504022,0.078898683643561,0.586694489147583,0.41330551085241696,1566.96,751.34,815.62
147,9.583333333,9.583333333,9.583333333,13.75,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,9.583333333,0.510845565905391,0.0786747371071059,0.5895203030124969,0.4104796969875031,1559.5,752.57,806.93
148,9.444444444,9.444444444,9.444444444,15.0,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,9.444444444,0.51418677168701,0.0783788446054963,0.5925656162925063,0.40743438370749374,1552.27,753.78,798.49
149,9.305555556,9.305555556,9.305555556,16.25,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,9.305555556,0.517795041073031,0.0780251782751259,0.5958202193481569,0.4041797806518431,1545.32,754.93,790.39
150,9.166666667,9.166666667,9.166666667,17.5,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,9.166666667,0.521617938763736,0.0776078515996336,0.5992257903633695,0.40077420963663046,1538.56,756.06,782.5
151,9.027777778,9.027777778,9.027777778,18.75,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,9.027777778,0.525888181540328,0.0772488141987241,0.6031369957390521,0.3968630042609479,1532.42,757.15,775.2700000000001
152,8.888888889,8.888888889,8.888888889,20.0,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,8.888888889,0.530062389586499,0.0768591291511663,0.6069215187376653,0.3930784812623347,1527.42,757.78,769.6400000000001
153,8.75,8.75,8.75,21.25,8.75,8.75,8.75,8.75,8.75,8.75,0.534709120690483,0.0762940556427227,0.6110031763332058,0.3889968236667942,1521.42,758.77,762.6500000000001
154,8.611111111,8.611111111,8.611111111,22.5,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,8.611111111,0.53944122079142,0.0755154924265516,0.6149567132179716,0.38504328678202837,1516.75,760.51,756.24
155,8.472222222,8.472222222,8.472222222,23.75,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,8.472222222,0.544353967039761,0.074859160559232,0.619213127598993,0.38078687240100695,1513.16,761.54,751.6200000000001
156,8.333333333,8.333333333,8.333333333,25.0,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,0.549697567644547,0.0741544292921662,0.6238519969367132,0.3761480030632868,1510.82,762.57,748.2499999999999
157,8.194444444,8.194444444,8.194444444,26.25,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,8.194444444,0.55519835156781,0.0735029041310921,0.628701255698902,0.371298744301098,1509.44,763.6,745.84
158,8.055555556,8.055555556,8.055555556,27.5,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,8.055555556,0.560795477884871,0.0727637641283228,0.6335592420131939,0.3664407579868061,1509.19,764.65,744.5400000000001
159,7.916666667,7.916666667,7.916666667,28.75,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,0.566729832548029,0.0720822077494119,0.6388120402974409,0.3611879597025591,1509.96,765.66,744.3000000000001
160,7.777777778,7.777777778,7.777777778,30.0,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,0.597606165082564,0.071051176637793,0.6686573417203571,0.33134265827964293,1511.39,767.7,743.69
161,7.638888889,7.638888889,7.638888889,31.25,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,0.579148364795489,0.0703244213334385,0.6494727861289276,0.35052721387107244,1513.9,768.75,745.1500000000001
162,7.5,7.5,7.5,32.5,7.5,7.5,7.5,7.5,7.5,7.5,0.585640477080528,0.0693065118894476,0.6549469889699756,0.3450530110300244,1516.81,770.75,746.06
163,7.361111111,7.361111111,7.361111111,33.75,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,0.592445695620149,0.0683382077609425,0.6607839033810915,0.3392160966189085,1520.18,772.87,747.3100000000001
164,7.222222222,7.222222222,7.222222222,35.0,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,0.599465645301706,0.0676107177157363,0.6670763630174423,0.33292363698255767,1523.94,773.77,750.1700000000001
165,7.083333333,7.083333333,7.083333333,36.25,7.083333333,7.083333333,7.083333333,7.083333333,7.083333333,7.083333333,0.606563683726257,0.0664626953806563,0.6730263791069133,0.3269736208930867,1528.02,776.79,751.23
166,6.944444444,6.944444444,6.944444444,37.5,6.944444444,6.944444444,6.944444444,6.944444444,6.944444444,6.944444444,0.613853062524917,0.0656170767024444,0.6794701392273614,0.32052986077263856,1532.36,778.33,754.0299999999999
167,6.805555556,6.805555556,6.805555556,38.75,6.805555556,6.805555556,6.805555556,6.805555556,6.805555556,6.805555556,0.621275303360903,0.0645823594218795,0.6858576627827825,0.3141423372172175,1536.94,780.81,756.1300000000001
168,6.666666667,6.666666667,6.666666667,40.0,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,0.628907891563691,0.0635649007029969,0.6924727922666879,0.3075272077333121,1541.7,783.25,758.45
169,6.527777778,6.527777778,6.527777778,41.25,6.527777778,6.527777778,6.527777778,6.527777778,6.527777778,6.527777778,0.636708404359963,0.0623410784157377,0.6990494827757007,0.30095051722429933,1546.64,786.89,759.7500000000001
170,6.388888889,6.388888889,6.388888889,42.5,6.388888889,6.388888889,6.388888889,6.388888889,6.388888889,6.388888889,0.644671808495445,0.0613166650607111,0.7059884735561561,0.2940115264438439,1551.74,789.12,762.62
171,6.25,6.25,6.25,43.75,6.25,6.25,6.25,6.25,6.25,6.25,0.652773387466841,0.0602888368886829,0.7130622243555239,0.2869377756444761,1556.97,791.38,765.59
172,6.111111111,6.111111111,6.111111111,45.0,6.111111111,6.111111111,6.111111111,6.111111111,6.111111111,6.111111111,0.661035051481298,0.0590933565965896,0.7201284080778876,0.2798715919221124,1562.33,794.65,767.68
173,5.972222222,5.972222222,5.972222222,46.25,5.972222222,5.972222222,5.972222222,5.972222222,5.972222222,5.972222222,0.669438996043692,0.0580324850577911,0.7274714811014831,0.2725285188985169,1567.8,796.96,770.8399999999999
174,5.833333333,5.833333333,5.833333333,47.5,5.833333333,5.833333333,5.833333333,5.833333333,5.833333333,5.833333333,0.677964012149385,0.0568217180106204,0.7347857301600054,0.26521426983999463,1573.39,800.26,773.1300000000001
