Ser No.,Al,Ti,V,Cr,Mn,Fe,Ni,Cu,Nb,Mo,Al_wt%,Ti_wt%,V_wt%,Cr_wt%,Mn_wt%,Fe_wt%,Ni_wt%,Cu_wt%,Nb_wt%,Mo_wt%,Liquidus,Term. Temp,Peak Cracking Index,Num. Sim. Steps,Vol. Frac At Term. BCC_B2,Start Temp. BCC_B2,Vol. Frac At Term. BCC_B2#2,Start Temp. BCC_B2#2,Vol. Frac At Term. C14_LAVES,Start Temp. C14_LAVES,Vol. Frac At Term. CR3SI_A15,Start Temp. CR3SI_A15,Vol. Frac At Term. FCC_L12,Start Temp. FCC_L12,Vol. Frac At Term. HEUSLER_L21,Start Temp. HEUSLER_L21,Vol. Frac At Term. MU_PHASE,Start Temp. MU_PHASE,Vol. Frac At Term. SIGMA,Start Temp. SIGMA
241,7.916666667,7.916666667,7.916666667,7.916666667,7.916666667,28.75,7.916666667,7.916666667,7.916666667,7.916666667,3.61381143132165,6.41102630579918,6.82287383938877,6.96404044114598,7.35807473181932,27.162587254627,7.86099749234904,8.51097995755562,12.4432868148532,12.8523217311402,1365.3,830.76,7879.25896806032,556,0.536902484758235,1269.28,0,0,0.204682875764835,1320.3,0,0,0.0788984205131652,918.37,0,0,0.165147077708295,1365.3,0.00172794272762165,947.07
242,7.777777778,7.777777778,7.777777778,7.777777778,7.777777778,30,7.777777778,7.777777778,7.777777778,7.777777778,3.55385375264541,6.3046593127966,6.70967377760219,6.84849824781524,7.23599501381786,28.3710515787876,7.73057365295445,8.36977209123138,12.2368370299931,12.6390855423561,1364.71,840.75,7735.39062474195,545,0.535596857589115,1269.52,0,0,0.212067628747491,1322.62,0,0,0.0788847634587432,921.81,0,0,0.15999154597333,1364.71,0.00192313797934519,947.96
243,7.638888889,7.638888889,7.638888889,7.638888889,7.638888889,31.25,7.638888889,7.638888889,7.638888889,7.638888889,3.49377968973229,6.1980858501377,6.59625398244542,6.73273177478764,7.11367832608823,29.5818616608439,7.59989664700383,8.22829012540687,12.0299865041238,12.4254354394304,1363.52,849.6,39266.8986618493,542,0.536373211850653,1270.82,0,0,0.218251796756354,1325.43,0,0,0.0789529539735802,925.43,0,0,0.153384906655351,1363.52,0.00266907152288046,972.23
244,7.5,7.5,7.5,7.5,7.5,32.5,7.5,7.5,7.5,7.5,3.4335889033818,6.0913053160691,6.4826138135081,6.61674036840263,6.99112397798492,30.7950243374797,7.4689657366462,8.08653326122228,11.8227340692902,12.211370216015,1361.93,858.5,282198.336217366,537,0.53784855711595,1272.54,0,0,0.223684847628806,1326.8,0,0,0.0789824307307136,927.42,0,0,0.146184758998506,1361.93,0.00317223045872165,990.38
245,7.361111111,7.361111111,7.361111111,7.361111111,7.361111111,33.75,7.361111111,7.361111111,7.361111111,7.361111111,3.37328105307402,5.9843171064967,6.36875262788884,6.50052337245707,6.86833127617598,32.0105464719723,7.33778018116053,7.94450069671045,11.6150785529944,11.9968886610697,1359.93,866.8,222220.095407981,528,0.539284809480795,1275.1,0,0,0.228071199284215,1328.42,0,0,0.0786844459560794,929.66,0,0,0.138411304824628,1359.93,0.00540576215234861,1028.92
246,7.222222222,7.222222222,7.222222222,7.222222222,7.222222222,35,7.222222222,7.222222222,7.222222222,7.222222222,3.31285579696321,5.87712061497435,6.25466978018308,6.38408012819283,6.74529952462993,33.2284349543213,7.20633923694172,7.80219162678171,11.407018778173,11.7819895588388,1281.44,874.97,76619.4775195306,430,0.540783721589333,1278.58,0,0,0.166141704826788,1281.44,0,0,0.0783489104387085,931.93,0,0,0.00611341153929048,1281.44,0.00748067128588536,1058.51
247,7.083333333,7.083333333,7.083333333,7.083333333,7.083333333,36.25,7.083333333,7.083333333,7.083333333,7.083333333,3.25231279187134,5.76971523269236,6.1403646224709,6.26740997428442,6.62202802460261,34.4486967013791,7.07464215748664,7.65960524320866,11.1985535631754,11.5666716888286,1256,880.83,173862.429516838,402,0.36771611145633,1256,0,0,0.112560494819384,1256,0,0,0.0773216375150769,933.44,0,0,2.79236163032227e-05,1256,0.00879218335294284,1076.43
248,6.944444444,6.944444444,6.944444444,6.944444444,6.944444444,37.5,6.944444444,6.944444444,6.944444444,6.944444444,3.19165169328159,5.66210034846601,6.02583650430475,6.15051224682638,6.49851607462397,35.6713386569815,6.94268819337989,7.51674073461092,10.9896817217411,11.3509338257839,1351.66,888.8,138628.602069811,491,0.55145982261872,1285.67,0,0,0.237854891396881,1331.7,0,0,0.0778390434037992,936.37,0,0,0.111878504292787,1351.66,0.0109688962697148,1096
249,6.805555556,6.805555556,6.805555556,6.805555556,6.805555556,38.75,6.805555556,6.805555556,6.805555556,6.805555556,3.13087215550155,5.55427534902501,5.91108477301757,6.03338627964787,6.37476297083035,36.8963677886587,6.8104765926489,7.37359728683944,10.7804020635619,11.1347747402687,1347.98,895.96,162733.579051279,474,0.558039725194751,1288.96,0,0,0.240030942344276,1332.98,0,0,0.0773799700974209,938.21,0,0,0.101815411341562,1347.98,0.0123229727086275,1108.97
250,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,40,6.666666667,6.666666667,6.666666667,6.666666667,3.06997383098354,5.44623961780776,5.79610877243953,5.91603140300275,6.25076800558052,38.123791101335,6.67800659928533,7.23017408137573,10.5707133919412,10.9181931962486,1344.13,901.21,93593.2504931793,468,0.566093976493872,1293.84,0,0,0.241712555447746,1326.13,0,0,0.0773879879658375,940.24,0,0,0.0915009393274158,1344.13,0.013435806920847,1119.15
251,6.527777778,6.527777778,6.527777778,6.527777778,6.527777778,41.25,6.527777778,6.527777778,6.527777778,6.527777778,3.00895637131894,5.33799253672537,5.68090784477539,5.79844694548587,6.1265304694804,39.3536156172863,6.54527745540815,7.08647029767377,10.3606145072181,10.7011879546277,1340.93,908.29,20500.7833681228,450,0.574471349709231,1296.79,0,0,0.243492375212253,1333.94,0,0,0.0768400327859596,939.33,0,0,0.0807030474291964,1340.93,0.0144960904381504,1126.65
252,6.388888889,6.388888889,6.388888889,6.388888889,6.388888889,42.5,6.388888889,6.388888889,6.388888889,6.388888889,2.94781942657007,5.22953348497626,5.56548132934299,5.68063223274543,6.00204965002247,40.5858483896079,6.41228839981013,6.9424851115863,10.1501042044666,10.4837577708718,1335.58,933.28,22610.6069773457,421,0.58749699466466,1300.75,0,0,0.244719650193672,1333.26,0,0,0.0828501718385722,933.31,0,0,0.0695114205071809,1335.58,0.0154218779537608,1132.53
